"","n","interim_fraction","MonitoringType","P","Proportion","FutilityPValue","EfficacyPValue","AlternativeRejectionRate0.8","NullRejectionRate0.05","TypeIIError","LevelOfSignificance"
"440",600,0.25,"EO",1.47336168718759e-05,0.95,1.99999999802682,1.47336168718759e-05,0.063,0.004,0.937,0.996
"441",600,0.25,"EO",1.47336168718759e-05,1,1.99999999802682,1.47336168718759e-05,0,0,1,1
"442",600,0.25,"FE",1.47336168718759e-05,0,NA,1.47336168718759e-05,0.718,0.42,0.282,0.58
"443",600,0.25,"FE",1.47336168718759e-05,0.05,NA,1.47336168718759e-05,0.435,0.132,0.565,0.868
"444",600,0.25,"FE",1.47336168718759e-05,0.1,NA,1.47336168718759e-05,0.379,0.104,0.621,0.896
"445",600,0.25,"FE",1.47336168718759e-05,0.15,NA,1.47336168718759e-05,0.359,0.089,0.641,0.911
"446",600,0.25,"FE",1.47336168718759e-05,0.2,NA,1.47336168718759e-05,0.314,0.075,0.686,0.925
"447",600,0.25,"FE",1.47336168718759e-05,0.25,NA,1.47336168718759e-05,0.306,0.064,0.694,0.936
"448",600,0.25,"FE",1.47336168718759e-05,0.3,NA,1.47336168718759e-05,0.271,0.059,0.729,0.941
"449",600,0.25,"FE",1.47336168718759e-05,0.35,NA,1.47336168718759e-05,0.258,0.05,0.742,0.95
"450",600,0.25,"FE",1.47336168718759e-05,0.4,NA,1.47336168718759e-05,0.255,0.046,0.745,0.954
"451",600,0.25,"FE",1.47336168718759e-05,0.45,NA,1.47336168718759e-05,0.219,0.038,0.781,0.962
"452",600,0.25,"FE",1.47336168718759e-05,0.5,NA,1.47336168718759e-05,0.205,0.029,0.795,0.971
"453",600,0.25,"FE",1.47336168718759e-05,0.55,NA,1.47336168718759e-05,0.2,0.028,0.8,0.972
"454",600,0.25,"FE",1.47336168718759e-05,0.6,NA,1.47336168718759e-05,0.171,0.028,0.829,0.972
"455",600,0.25,"FE",1.47336168718759e-05,0.65,NA,1.47336168718759e-05,0.162,0.024,0.838,0.976
"456",600,0.25,"FE",1.47336168718759e-05,0.7,NA,1.47336168718759e-05,0.156,0.022,0.844,0.978
"457",600,0.25,"FE",1.47336168718759e-05,0.75,NA,1.47336168718759e-05,0.129,0.018,0.871,0.982
"458",600,0.25,"FE",1.47336168718759e-05,0.8,NA,1.47336168718759e-05,0.125,0.015,0.875,0.985
"459",600,0.25,"FE",1.47336168718759e-05,0.85,NA,1.47336168718759e-05,0.098,0.012,0.902,0.988
"460",600,0.25,"FE",1.47336168718759e-05,0.9,NA,1.47336168718759e-05,0.081,0.009,0.919,0.991
"461",600,0.25,"FE",1.47336168718759e-05,0.95,NA,1.47336168718759e-05,0.063,0.004,0.937,0.996
"462",600,0.25,"FE",1.47336168718759e-05,1,NA,1.47336168718759e-05,0,0,1,1
"463",600,0.5,"FO",0.587238814856593,0,0.587238814856593,0,1,1,0,0
"464",600,0.5,"FO",0.587238814856593,0.05,0.587238814856593,0,1,1,0,0
"465",600,0.5,"FO",0.587238814856593,0.1,0.587238814856593,0,1,1,0,0
"466",600,0.5,"FO",0.587238814856593,0.15,0.587238814856593,0,1,1,0,0
"467",600,0.5,"FO",0.587238814856593,0.2,0.587238814856593,0,1,1,0,0
"468",600,0.5,"FO",0.587238814856593,0.25,0.587238814856593,0,1,1,0,0
"469",600,0.5,"FO",0.587238814856593,0.3,0.587238814856593,0,1,1,0,0
"470",600,0.5,"FO",0.587238814856593,0.35,0.587238814856593,0,1,0.993,0,0.00700000000000001
"471",600,0.5,"FO",0.587238814856593,0.4,0.587238814856593,0,0.983,0.866,0.017,0.134
"472",600,0.5,"FO",0.587238814856593,0.45,0.587238814856593,0,0.964,0.767,0.036,0.233
